,cipdic0none_S2,cipdic0none_S1,cipdic0none_S3
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Tenacibaculum|Tenacibaculum maritimum,0,2,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Tenacibaculum|Tenacibaculum sp. SZ-18,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Myroides|Myroides profundi,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Elizabethkingia|Elizabethkingia sp. JS20170427COW,0,2,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Elizabethkingia|Elizabethkingia sp. 2-6,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Formosa|Formosa sp. L2A11,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga cynodegmi,0,5,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga sp. H2931,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Kordia|Kordia antarctica,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|NA|Flavobacteriaceae bacterium UJ101,0,1,2
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Dokdonia,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Dokdonia|Dokdonia sp. 4H-3-7-5,0,4,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Dokdonia|Dokdonia sp. Dokd-P16,0,1,1
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Oceanihabitans|Oceanihabitans sp. IOP_32,0,5,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Nonlabens|Nonlabens marinus,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Nonlabens|Nonlabens sp. MJ115,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Gramella|Gramella sp. MAR_2010_102,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Salegentibacter,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Bergeyella|Bergeyella cardium,0,2,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Muricauda|Muricauda lutaonensis,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Aequorivita|Aequorivita sp. H23M31,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Aquimarina|Aquimarina sp. AD10,0,2,1
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Siansivirga|Siansivirga zeaxanthinifaciens,0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Psychroflexus|Psychroflexus torquis,0,1,1
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Gilvibacter|Gilvibacter sp. SZ-19,0,1,3
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Blattabacteriaceae|Blattabacterium|Blattabacterium punctulatus,0,60,72
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Blattabacteriaceae|Blattabacterium|Blattabacterium sp. (Mastotermes darwiniensis),0,1,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|NA|Candidatus Sulcia|Candidatus Sulcia muelleri,0,1,8
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales,0,3,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Bernardetiaceae|Bernardetia|Bernardetia litoralis,0,226,1
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma|Spirosoma montaniterrae,0,3,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma|Spirosoma aerolatum,0,3,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma|Spirosoma rigui,0,1,1
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma|Spirosoma radiotolerans,0,1,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma|Spirosoma pollinicola,0,1,1
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Dyadobacter|Dyadobacter fermentans,0,4,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Fibrella,0,1,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Hymenobacteraceae|Pontibacter|Pontibacter korlensis,0,2,1
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Hymenobacteraceae|Pontibacter|Pontibacter actiniarum,0,1,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Hymenobacteraceae|Rufibacter|Rufibacter sp. DG15C,0,2,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Hymenobacteraceae|Rufibacter|Rufibacter sp. DG31D,0,1,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Flammeovirgaceae|Marivirga|Marivirga tractuosa,0,1,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Echinicola,0,1,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Echinicola|Echinicola sp. LN3S3,0,2,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Echinicola|Echinicola strongylocentroti,0,1,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Cyclobacterium|Cyclobacterium marinum,0,1,0
Bacteria|NA|Bacteroidetes|Cytophagia|Cytophagales|Persicobacteraceae|Persicobacter|Persicobacter sp. JZB09,0,1,1
Bacteria|NA|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Pedobacter,0,1,0
Bacteria|NA|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Pedobacter|Pedobacter sp. CJ43,0,3,0
Bacteria|NA|Bacteroidetes|Saprospiria|Saprospirales|Haliscomenobacteraceae|Haliscomenobacter|Haliscomenobacter hydrossis,0,52,34
Bacteria|NA|Bacteroidetes|Chitinophagia|Bacteroidetes Order II. Incertae sedis|Rhodothermaceae|Salinibacter|Salinibacter ruber,0,2,0
Bacteria|NA|Chlorobi|Chlorobia|Chlorobiales|Chlorobiaceae|Prosthecochloris|Prosthecochloris sp. CIB 2401,0,3,0
Bacteria|NA|Chlorobi|Chlorobia|Chlorobiales|Chlorobiaceae|Chlorobaculum|Chlorobaculum parvum,0,1,0
Bacteria|NA|Ignavibacteriae|Ignavibacteria|Ignavibacteriales|Ignavibacteriaceae|Ignavibacterium|Ignavibacterium album,0,1,0
Bacteria|NA|Fibrobacteres|Fibrobacteria|Fibrobacterales|Fibrobacteraceae|Fibrobacter|Fibrobacter succinogenes,0,5,0
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae,0,1,0
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium pseudoperiodonticum,0,173,9
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium mortiferum,0,49,16
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium hwasookii,0,4,1
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium varium,0,1,24
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium ulcerans,0,1,353
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Sneathia|Sneathia amnii,0,182,219
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia|Leptotrichia sp. oral taxon 212,0,8,14
Bacteria|NA|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Streptobacillus|Streptobacillus moniliformis,0,7,1
Bacteria|NA|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae,0,1,0
Bacteria|NA|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema|Treponema pedis,0,1,1
Bacteria|NA|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema|Treponema sp. OMZ 804,0,1,0
Bacteria|NA|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Sphaerochaeta|Sphaerochaeta coccoides,0,1,0
Bacteria|NA|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Spirochaeta|Spirochaeta thermophila,0,1,0
Bacteria|NA|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Spirochaeta|Spirochaeta perfilievii,0,1,1
Bacteria|NA|Spirochaetes|Spirochaetia|Spirochaetales|Borreliaceae|Borreliella|Borreliella afzelii,0,3,0
Bacteria|NA|Spirochaetes|Spirochaetia|Spirochaetales|Borreliaceae|Borrelia|Borrelia hermsii,0,1,0
Bacteria|NA|Spirochaetes|Spirochaetia|Brachyspirales|Brachyspiraceae|Brachyspira|Brachyspira murdochii,0,35,0
Bacteria|NA|Thermotogae|Thermotogae|Petrotogales|Petrotogaceae|Marinitoga,0,144,19
Bacteria|NA|Thermotogae|Thermotogae|Petrotogales|Petrotogaceae|Marinitoga|Marinitoga sp. 1137,0,15,0
Bacteria|NA|Thermotogae|Thermotogae|Thermotogales|Fervidobacteriaceae|Thermosipho,0,5,0
Bacteria|NA|Thermotogae|Thermotogae|Thermotogales|Fervidobacteriaceae|Thermosipho|Thermosipho africanus,0,4,0
Bacteria|NA|Thermotogae|Thermotogae|Thermotogales|Fervidobacteriaceae|Thermosipho|Thermosipho melanesiensis,0,1,0
Bacteria|NA|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga caldifontis,0,2,0
Bacteria|NA|Planctomycetes|NA|NA|NA|NA|Planctomycetes bacterium Pan181,0,4,0
Bacteria|NA|Planctomycetes|NA|NA|NA|NA|Planctomycetes bacterium,0,1,0
Bacteria|NA|Planctomycetes|NA|NA|NA|NA|Planctomycetes bacterium SV_7m_r,0,1,1
Bacteria|NA|Planctomycetes|NA|NA|NA|NA|Planctomycetes bacterium Pla163,0,1,0
Bacteria|NA|Planctomycetes|NA|NA|NA|NA|Planctomycetes bacterium Mal33,0,1,0
Bacteria|NA|Planctomycetes|Phycisphaerae|Sedimentisphaerales|Sedimentisphaeraceae|Sedimentisphaera,0,1,0
Bacteria|NA|Planctomycetes|Phycisphaerae|Sedimentisphaerales|Sedimentisphaeraceae|Sedimentisphaera|Sedimentisphaera salicampi,0,1,0
Bacteria|NA|Planctomycetes|Planctomycetia|Gemmatales|Gemmataceae|Gemmata|Gemmata sp. SH-PL17,0,1,0
Bacteria|NA|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Rubinisphaera|Rubinisphaera brasiliensis,0,1,0
Bacteria|NA|Planctomycetes|Planctomycetia|Pirellulales|Pirellulaceae|Rhodopirellula|Rhodopirellula baltica,0,1,0
Bacteria|NA|Planctomycetes|Planctomycetia|Isosphaerales|Isosphaeraceae|Singulisphaera|Singulisphaera acidiphila,0,1,0
Bacteria|NA|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae|Chlamydia|Chlamydia trachomatis,0,1,0
Bacteria|NA|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae|Chlamydia|Chlamydia suis,0,1,0
Bacteria|NA|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae|Chlamydia|Chlamydia avium,0,1,0
Bacteria|NA|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia|Akkermansia glycaniphila,0,1,45
Bacteria|NA|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Verrucomicrobium|Verrucomicrobium sp. GAS474,0,4,0
Bacteria|NA|Verrucomicrobia|Opitutae|Opitutales|Opitutaceae|Opitutus|Opitutus sp. GAS368,0,1,0
Bacteria|NA|Verrucomicrobia|Methylacidiphilae|Methylacidiphilales|Methylacidiphilaceae|Methylacidiphilum|Methylacidiphilum infernorum,0,2,0
Bacteria|NA|Verrucomicrobia|Spartobacteria|NA|NA|Candidatus Xiphinematobacter|Candidatus Xiphinematobacter sp. Idaho Grape,0,1,0
Bacteria|NA|Aquificae|Aquificae|Aquificales|Aquificaceae|Thermocrinis|Thermocrinis minervae,0,68,32
Bacteria|NA|Aquificae|Aquificae|Aquificales|Hydrogenothermaceae|Sulfurihydrogenibium|Sulfurihydrogenibium sp. YO3AOP1,0,1,1
Bacteria|NA|Aquificae|Aquificae|Desulfurobacteriales|Desulfurobacteriaceae|Desulfurobacterium|Desulfurobacterium thermolithotrophum,0,2,0
Bacteria|NA|Synergistetes|Synergistia|Synergistales|Synergistaceae,0,1,0
Bacteria|NA|Synergistetes|Synergistia|Synergistales|Synergistaceae|Thermanaerovibrio|Thermanaerovibrio acidaminovorans,0,1,0
Bacteria|NA|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Calditerrivibrio|Calditerrivibrio nitroreducens,0,1,0
Bacteria|NA|Dictyoglomi|Dictyoglomia|Dictyoglomales|Dictyoglomaceae|Dictyoglomus|Dictyoglomus turgidum,0,7,3
Bacteria|NA|Candidatus Saccharibacteria|NA|NA|NA|NA|Candidatus Saccharibacteria bacterium FS07P-B,0,1,0
Bacteria|NA|Candidatus Saccharibacteria|NA|NA|NA|NA|Candidatus Saccharibacteria bacterium FS14P,0,1,0
Bacteria|NA|Candidatus Bipolaricaulota|NA|NA|NA|Candidatus Bipolaricaulis|Candidatus Bipolaricaulis anaerobius,0,1,0
Bacteria|NA|NA|NA|NA|NA|NA|endophytic bacterium LOB-07,0,2,1
Bacteria|NA|Acidobacteria|Acidobacteriia|Acidobacteriales|Acidobacteriaceae|Terriglobus|Terriglobus roseus,0,2,1
Bacteria|NA|Chrysiogenetes|Chrysiogenetes|Chrysiogenales|Chrysiogenaceae|Desulfurispirillum|Desulfurispirillum indicum,0,2,0
Bacteria|NA|Thermodesulfobacteria|Thermodesulfobacteria|Thermodesulfobacteriales|Thermodesulfobacteriaceae|Thermodesulfobacterium|Thermodesulfobacterium sp. TA1,0,1,1
Bacteria|NA|Elusimicrobia|Elusimicrobia|Elusimicrobiales|Elusimicrobiaceae|Elusimicrobium|Elusimicrobium minutum,0,1,0
Archaea,0,4,0
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus jannaschii,0,81,24
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus infernus,0,62,64
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus vulcanius,0,57,52
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanotorris|Methanotorris igneus,0,2,0
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanococcaceae|Methanococcus|Methanococcus maripaludis,0,2,1
Archaea|NA|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter|Methanobrevibacter ruminantium,0,90,0
Archaea|NA|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter|Methanobrevibacter millerae,0,1,1
Archaea|NA|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobacterium|Methanobacterium sp. MB1,0,13,10
Archaea|NA|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobacterium|Methanobacterium congolense,0,10,0
Archaea|NA|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanosphaera|Methanosphaera stadtmanae,0,12,5
Archaea|NA|Euryarchaeota|Methanomicrobia|Methanosarcinales|Methanosarcinaceae|Methanosarcina|Methanosarcina barkeri,0,1,1
Archaea|NA|Euryarchaeota|Halobacteria|Natrialbales|Natrialbaceae,0,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Natrialbales|Natrialbaceae|Natrialba|Natrialba magadii,0,2,0
Archaea|NA|Euryarchaeota|Halobacteria|Natrialbales|Natrialbaceae|Haloterrigena|Haloterrigena daqingensis,0,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halalkalicoccus|Halalkalicoccus jeotgali,0,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halorussus|Halorussus sp. RC-68,0,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Halobacteriales|Haloarculaceae|Halorientalis|Halorientalis sp. IM1011,0,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Haloferacales|Halorubraceae|Salinigranum|Salinigranum rubrum,0,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Haloplanus|Haloplanus sp. CBA1112,0,1,0
Archaea|NA|Euryarchaeota|Thermoplasmata|Thermoplasmatales|Picrophilaceae|Picrophilus|Picrophilus torridus,0,1,15
Archaea|NA|Euryarchaeota|NA|NA|NA|Aciduliprofundum|Aciduliprofundum sp. MAR08-339,0,1,0
Archaea|NA|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus,0,1,0
Archaea|NA|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus litoralis,0,1,0
Archaea|NA|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus sp. EXT12c,0,1,0
Archaea|NA|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus barophilus,0,1,1
Archaea|NA|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Pyrococcus|Pyrococcus sp. NA2,0,1,0
Archaea|NA|Thaumarchaeota|NA|Nitrosopumilales|Nitrosopumilaceae|Nitrosopumilus|Nitrosopumilus adriaticus,0,59,1
Archaea|NA|Thaumarchaeota|NA|Nitrosopumilales|Nitrosopumilaceae|Candidatus Nitrosomarinus|Candidatus Nitrosomarinus catalina,0,8,2
Archaea|NA|Thaumarchaeota|NA|NA|NA|Candidatus Nitrosopelagicus|Candidatus Nitrosopelagicus brevis,0,9,0
Archaea|NA|Crenarchaeota|Thermoprotei|Sulfolobales|Sulfolobaceae|Acidianus|Acidianus brierleyi,0,4,0
Archaea|NA|Crenarchaeota|Thermoprotei|Sulfolobales|Sulfolobaceae|Sulfurisphaera|Sulfurisphaera tokodaii,0,2,0
Archaea|NA|Crenarchaeota|Thermoprotei|Thermoproteales|Thermofilaceae|Thermofilum|Thermofilum adornatum,0,2,0
Archaea|NA|Crenarchaeota|Thermoprotei|Thermoproteales|Thermoproteaceae|Caldivirga|Caldivirga maquilingensis,0,1,0
Archaea|NA|NA|NA|NA|NA|NA|anaerobic archaeon MK-D1,0,2,1
Viruses|NA|NA|NA|Caudovirales|Myoviridae,0,16,13
Viruses|NA|NA|NA|Caudovirales|Myoviridae|NA|Escherichia phage phAPEC8,0,3041,1
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Peduovirus|Escherichia virus pro483,0,2,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Muvirus|Escherichia phage D108,0,15,1
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Muvirus|Shigella virus SfMu,0,2,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Vequintavirus,0,1,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Vequintavirus|Escherichia virus slur16,0,15,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Vequintavirus|Escherichia virus JES2013,0,1,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Krischvirus|Escherichia virus RB49,0,1,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Winklervirus|Serratia virus CHI14,0,1,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Machinavirus,0,1,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Asteriusvirus|Escherichia virus 121Q,0,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Brussowvirus|Streptococcus virus 2972,0,821,385
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Cronobacter phage ENT47670,0,2,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Enterococcus phage vB_EfaS_IME197,0,2,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Lactococcus phage BM13,0,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Sugarlandvirus,0,14,20
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Efquatrovirus,0,3,1
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Roufvirus,0,2,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Phietavirus|Staphylococcus phage 3MRA,0,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Phietavirus|Staphylococcus virus 71,0,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Yuavirus|Pseudomonas virus MP1412,0,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Tequintavirus|Yersinia phage phiR201,0,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Lambdavirus|Escherichia virus HK629,0,1,0
Viruses|NA|NA|NA|Caudovirales|Podoviridae|Lederbergvirus|Enterobacteria phage IME10,0,6,1
Viruses|NA|NA|NA|Caudovirales|Podoviridae,0,2,0
Viruses|NA|NA|NA|Caudovirales|Podoviridae|NA|Vibrio phage JA-1,0,3,0
Viruses|NA|NA|NA|Caudovirales|Podoviridae|Uetakevirus|Escherichia phage TL-2011b,0,3,2
Viruses|NA|NA|NA|Picornavirales|Secoviridae|Sequivirus|Parsnip yellow fleck virus,0,1,0
Viruses|NA|NA|NA|Herpesvirales|Herpesviridae|Lymphocryptovirus|Callitrichine gammaherpesvirus 3,0,2,0
Viruses|NA|NA|NA|Herpesvirales|Phycodnaviridae|NA|Orpheovirus IHUMI-LCC2,0,2,0
Viruses|NA|NA|NA|Herpesvirales|Baculoviridae|Alphabaculovirus|Apocheima cinerarium nucleopolyhedrovirus,0,1,0
Viruses|NA|NA|NA|Herpesvirales|Poxviridae|Alphaentomopoxvirus|Anomala cuprea entomopoxvirus,0,1,0
Viruses|NA|NA|NA|NA|NA|NA|Halovirus HRTV-4,0,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella sp. 40,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|NA|Moraxellaceae bacterium HYN0046,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. FDAARGOS_380,0,0,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. LTJR-52,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. S49,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. BIOMIG1BAC,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. LPH1,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. KUIN-1,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas fulva,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas mosselii,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. SGAir0191,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas mediterranea,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas libanensis,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas taetrolens,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas umsongensis,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas granadensis,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio rotiferianus,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio sp. 2521-89,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio qinghaiensis,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas hyacinthi,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas arboricola,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Stenotrophomonas|Stenotrophomonas sp. ZAC14A_NAIMI4_1,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|Lysobacter gummosus,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Luteimonas|Luteimonas sp. 100111,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas sp. A25,0,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas donghaensis,0,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella sp. MR-4,0,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella sp. Arc9-LZ,0,0,1
