,cipmet40_S3,cipmet40_S1
Bacteria|NA|Thermodesulfobacteria|Thermodesulfobacteria|Thermodesulfobacteriales|Thermodesulfobacteriaceae|Thermodesulfatator|Thermodesulfatator indicus,11,1
Bacteria|NA|Aquificae|Aquificae|Desulfurobacteriales|Desulfurobacteriaceae,4,5
Bacteria|NA|Aquificae|Aquificae|Aquificales|Hydrogenothermaceae|Persephonella|Persephonella marina,3,1
Bacteria|NA|Dictyoglomi|Dictyoglomia|Dictyoglomales|Dictyoglomaceae|Dictyoglomus|Dictyoglomus thermophilum,6,23
Bacteria|NA|NA|NA|NA|NA|NA|bacterium 2013Arg42i,2,1
Bacteria|NA|Candidatus Gracilibacteria|NA|NA|NA|NA|Candidatus Gracilibacteria bacterium HOT-871,2,8
Bacteria|NA|Chrysiogenetes|Chrysiogenetes|Chrysiogenales|Chrysiogenaceae|Desulfurispirillum|Desulfurispirillum indicum,2,1
Bacteria|NA|Elusimicrobia|Elusimicrobia|Elusimicrobiales|Elusimicrobiaceae|Elusimicrobium|Elusimicrobium minutum,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Haloferax|Haloferax gibbonsii,13,0
Archaea|NA|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Haloplanus|Haloplanus aerogenes,3,0
Archaea|NA|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Haloprofundus|Haloprofundus sp. MHR1,2,0
Archaea|NA|Euryarchaeota|Halobacteria|Haloferacales|Halorubraceae|Halorubrum|Halorubrum lacusprofundi,1,2
Archaea|NA|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halorussus|Halorussus sp. ZS-3,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Halobacteriales|Haloarculaceae|Natronomonas|Natronomonas moolapensis,1,0
Archaea|NA|Euryarchaeota|Halobacteria|Natrialbales|Natrialbaceae|Natrinema|Natrinema pellirubrum,1,0
Archaea|NA|Euryarchaeota|Methanomicrobia|Methanosarcinales|Methanotrichaceae|Methanothrix|Methanothrix soehngenii,4,27
Archaea|NA|Euryarchaeota|Methanomicrobia|Methanosarcinales|Methanosarcinaceae|Methanosarcina|Methanosarcina sp. Kolksee,1,0
Archaea|NA|Euryarchaeota|Thermoplasmata|Methanomassiliicoccales|Methanomassiliicoccaceae|Methanomassiliicoccus|Candidatus Methanomassiliicoccus intestinalis,18,49
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus,1,0
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus fervens,1,0
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus bathoardescens,1,0
Archaea|NA|Euryarchaeota|Methanococci|Methanococcales|Methanococcaceae|Methanococcus|Methanococcus maripaludis,1,0
Archaea|NA|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter|Methanobrevibacter olleyae,2,0
Archaea|NA|Euryarchaeota|Archaeoglobi|Archaeoglobales|Archaeoglobaceae|Archaeoglobus|Archaeoglobus fulgidus,2,0
Archaea|NA|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus peptonophilus,1,0
Archaea|NA|Crenarchaeota|Thermoprotei|Sulfolobales|Sulfolobaceae|Metallosphaera|Metallosphaera hakonensis,20,28
Archaea|NA|Crenarchaeota|Thermoprotei|Sulfolobales|Sulfolobaceae|Sulfurisphaera,1,0
Archaea|NA|Crenarchaeota|Thermoprotei|Sulfolobales|Sulfolobaceae|Sulfurisphaera|Sulfurisphaera ohwakuensis,1,0
Archaea|NA|Crenarchaeota|Thermoprotei|Sulfolobales|Sulfolobaceae|Acidianus,1,0
Archaea|NA|Crenarchaeota|Thermoprotei|Fervidicoccales|Fervidicoccaceae|Fervidicoccus|Fervidicoccus fontis,1,0
Archaea|NA|Thaumarchaeota|Nitrososphaeria|Nitrososphaerales|Nitrososphaeraceae|Candidatus Nitrosocosmicus|Candidatus Nitrosocosmicus exaquare,4,9
Archaea|NA|Thaumarchaeota|Nitrososphaeria|Nitrosopumilales|Nitrosopumilaceae|Nitrosopumilus|Nitrosopumilus piranensis,1,0
Eukaryota|Metazoa|Chordata|Mammalia|Primates|Hominidae|Homo|Homo sapiens,82,147
Viruses|NA|NA|NA|Caudovirales|Siphoviridae,203,380
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Phifelvirus,322,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Phifelvirus|Enterococcus virus FL1,169,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Phifelvirus|Enterococcus virus FL2,8,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Ravinvirus|Enterobacteria phage HK225,266,389
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Ravinvirus|Enterobacteria phage mEp237,2,1
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Brussowvirus,5,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Brussowvirus|Streptococcus virus 2972,184,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Streptococcus virus 9872,78,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Bacteroides phage B40-8,5,5
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Escherichia phage HK639,3,3
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Klebsiella phage phiKO2,1,1
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Brochothrix phage BL3,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|NA|Bacteroides phage B124-14,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Triavirus|Staphylococcus phage tp310-2,6,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Triavirus|Staphylococcus virus phiSLT,5,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Phietavirus|Staphylococcus virus 37,5,9
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Hendrixvirus|Enterobacterial phage mEp390,2,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Hendrixvirus|Enterobacteria phage HK140,1,1
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Hendrixvirus|Escherichia virus HK022,1,6
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Hendrixvirus|Escherichia virus HK106,1,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Nickievirus|Salmonella phage SSU5,4,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Lambdavirus|Escherichia virus HK629,2,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Timquatrovirus|Mycobacterium virus Crimd,2,0
Viruses|NA|NA|NA|Caudovirales|Siphoviridae|Orchidvirus|Gordonia virus Orchid,1,0
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Peduovirus|Escherichia virus 186,102,84
Viruses|NA|NA|NA|Caudovirales|Myoviridae|Peduovirus|Escherichia virus P2,1,0
Viruses|NA|NA|NA|Caudovirales|Podoviridae|NA|Cellulophaga phage phi14:2,3,4
Viruses|NA|NA|NA|Caudovirales|Podoviridae|Lederbergvirus|Enterobacteria phage Sf101,2,0
Viruses|NA|NA|NA|Caudovirales|Podoviridae|NA|Enterococcus phage EF62phi,1,0
Viruses|NA|NA|NA|Caudovirales|Podoviridae|Traversvirus|Escherichia virus Min27,1,0
Viruses|NA|NA|NA|Caudovirales|Microviridae|NA|Parabacteroides phage YZ-2015a,6,0
Viruses|NA|NA|NA|Caudovirales|Poxviridae|Parapoxvirus|Seal parapoxvirus,1,0
Viruses|NA|NA|NA|Caudovirales|Poxviridae|Parapoxvirus|Plasmid pWP113a,2,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter|Citrobacter sp. 86,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Riesia|Candidatus Riesia pediculischaeffi,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Morganellaceae|Providencia|Providencia sp. WCHPHu000369,0,20
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Morganellaceae|Proteus|Proteus columbae,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Morganellaceae|Proteus|Proteus sp. CD3,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Serratia|Serratia sp. MYb239,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Rahnella|Rahnella sp. WMR121,0,37
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Rahnella|Rahnella sp. Y9602,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Budviciaceae|Pragia,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter sp. WCHA55,0,6
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter sp. NCu2D-2,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter sp. ACNIH1,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter sp. WCHAc010052,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter baylyi,0,8
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter defluvii,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|NA|Moraxellaceae bacterium HYN0046,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. R76,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. THAF7b,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. s211(2017),0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. URMO17WK12:I11,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. S-6-2,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas veronii,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas protegens,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas poae,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas taetrolens,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas xanthomarina,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas amygdali,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas lurida,0,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas pohangensis,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas frederiksbergensis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas asplenii,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas granadensis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas denitrificans (nomen rejiciendum),0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas agarici,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas umsongensis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas koreensis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas sp. CU5,0,169
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas encheleia,0,54
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas rivipollensis,0,20
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio diabolicus,0,158
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio natriegens,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio rotiferianus,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio sp. THAF191d,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio sp. EJY3,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio metschnikovii,0,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio breoganii,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio furnissii,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Aliivibrio|Aliivibrio fischeri,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Enterovibrio|Candidatus Enterovibrio luxaltus,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Thiomicrospira|Thiomicrospira cyclica,0,47
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Thiomicrospira|Thiomicrospira aerophila,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Methylophaga|Methylophaga frappieri,0,9
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Cycloclasticus,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella sp. FSC1006,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas sp. R3,0,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas sp. 16-SW-7,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas rubra,0,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas marina,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas phenolica,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella sp. Pdp11,0,6
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella sp. YLB-06,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella putrefaciens,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella psychrophila,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella amazonensis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter sp. Arc7-DN-1,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter sp. BSs20148,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter sp. NP-4(2019),0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Paraglaciecola|Paraglaciecola mesophila,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Lacimicrobium|Lacimicrobium alkaliphilum,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Colwelliaceae|Colwellia|Colwellia sp. PAMC 20917,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Colwelliaceae|Colwellia|Colwellia psychrerythraea,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Colwelliaceae|Litorilituus|Litorilituus sediminis,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Alteromonadales|Moritellaceae|Moritella|Moritella marina,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Stenotrophomonas|Stenotrophomonas sp. pho,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|Lysobacter antibioticus,0,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|Lysobacter gummosus,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas citri,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas arboricola,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Pseudoxanthomonas|Pseudoxanthomonas suwonensis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Thermomonas|Thermomonas sp. SY21,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Rhodanobacteraceae|Frateuria|Frateuria aurantia,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Actinobacillus|Actinobacillus succinogenes,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Mannheimia|Mannheimia haemolytica,0,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Gallibacterium|Gallibacterium anatis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Avibacterium|Avibacterium volantium,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas sp. THAF5a,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas sp. 1513,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas sp. N3-2A,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas campaniensis,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas subglaciescola,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Kushneria|Kushneria konosiri,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Nitrincola|Nitrincola sp. KXZD1103,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax sp. N3-2A,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Candidatus Thioglobus|Candidatus Thioglobus singularis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|NA|gamma proteobacterium SS-5,0,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Sedimenticola|Sedimenticola thiotaurini,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|NA|Calyptogena okutanii thioautotrophic gill symbiont,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Thiolapillus|Thiolapillus brandeum,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Nitrosococcus|Nitrosococcus oceani,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Halorhodospira|Halorhodospira halophila,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Alkalilimnicola|Alkalilimnicola ehrlichii,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Spiribacter|Spiribacter salinus,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Spiribacter|Spiribacter roseus,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella israelensis,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella waltersii,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella longbeachae,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella clemsonensis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Tatlockia|Tatlockia micdadei,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Coxiellaceae|Coxiella|Candidatus Coxiella mudrowiae,0,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Coxiellaceae|Aquicella|Aquicella siphonis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|Methylomonas|Methylomonas koyamae,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|Methylomicrobium|Methylomicrobium sp. wino1,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Orbales|Orbaceae|Gilliamella|Gilliamella apicola,0,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Cellvibrio|Cellvibrio sp. PSBB006,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Teredinibacter|Teredinibacter turnerae,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Spongiibacteraceae|Oceanicoccus|Oceanicoccus sagamiensis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium|Cardiobacterium hominis,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Salinisphaerales|Salinisphaeraceae|Salinisphaera|Salinisphaera sp. LB1,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. 8,0,4
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. DCY119,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Aminobacter|Aminobacter aminovorans,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium tropici,0,6
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium sp. ACO-34A,0,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium sp. NXC14,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium grahamii,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium|Agrobacterium rhizogenes,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Sinorhizobium,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Sinorhizobium|Sinorhizobium medicae,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Sinorhizobium|Sinorhizobium sp. RAC02,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Devosia|Devosia sp. 1566,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Hyphomicrobium|Hyphomicrobium sp. MC1,0,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Blastochloris|Blastochloris tepida,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium sp. BTAi1,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium sp. CCGE-LA001,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium oligotrophicum,0,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bosea|Bosea sp. F3-2,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bartonellaceae|Bartonella|Bartonella bovis,0,2
