,inoc_S2,inoc_S3,inoc_S1
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|Acholeplasma brassicae,48,74,72
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|Acholeplasma axanthum,36,30,48
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|Acholeplasma hippikon,35,55,63
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|Acholeplasma palmae,23,21,23
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|Acholeplasma laidlawii,13,25,11
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Phytoplasma,7,8,6
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Phytoplasma|Candidatus Phytoplasma mali,11,17,17
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Phytoplasma|Candidatus Phytoplasma australiense,8,2,5
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Phytoplasma|Candidatus Phytoplasma ziziphi,7,9,20
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Phytoplasma|Maize bushy stunt phytoplasma,1,2,1
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Phytoplasma|Aster yellows witches'-broom phytoplasma,1,3,0
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Izimaplasma|Candidatus Izimaplasma sp. HR1,45,0,0
Bacteria|NA|Tenericutes|NA|NA|NA|NA|Tenericutes bacterium MZ-XQ,23,31,20
Bacteria|NA|Tenericutes|NA|NA|NA|NA|Tenericutes bacterium MO-XQ,14,31,40
Bacteria|NA|Chloroflexi,14,13,10
Bacteria|NA|Chloroflexi|Dehalococcoidia|Dehalococcoidales|Dehalococcoidaceae|Dehalococcoides,13,21,28
Bacteria|NA|Chloroflexi|Dehalococcoidia|Dehalococcoidales|Dehalococcoidaceae|Dehalococcoides|Dehalococcoides mccartyi,214,263,269
Bacteria|NA|Chloroflexi|Dehalococcoidia|Dehalococcoidales|Dehalococcoidaceae|Dehalogenimonas,1,0,0
Bacteria|NA|Chloroflexi|Dehalococcoidia|Dehalococcoidales|Dehalococcoidaceae|Dehalogenimonas|Dehalogenimonas lykanthroporepellens,31,32,56
Bacteria|NA|Chloroflexi|Dehalococcoidia|Dehalococcoidales|Dehalococcoidaceae|Dehalogenimonas|Dehalogenimonas formicexedens,16,28,42
Bacteria|NA|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceae,5,2,6
Bacteria|NA|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceae|Pelolinea|Pelolinea submarina,48,34,50
Bacteria|NA|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceae|Anaerolinea|Anaerolinea thermophila,40,40,43
Bacteria|NA|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceae|NA|Anaerolineaceae bacterium oral taxon 439,38,34,42
Bacteria|NA|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceae|Brevefilum|Brevefilum fermentans,29,14,18
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales,2,1,0
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|Roseiflexus,2,9,5
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|Roseiflexus|Roseiflexus sp. RS-1,43,38,39
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|Roseiflexus|Roseiflexus castenholzii,38,34,43
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Chloroflexus|Chloroflexus aurantiacus,32,49,47
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Chloroflexus|Chloroflexus aggregans,24,35,34
Bacteria|NA|Chloroflexi|Thermomicrobia,1,0,2
Bacteria|NA|Chloroflexi|Thermomicrobia|Sphaerobacterales|Sphaerobacteraceae|Sphaerobacter|Sphaerobacter thermophilus,90,81,79
Bacteria|NA|Chloroflexi|Thermomicrobia|Thermomicrobiales|Thermomicrobiaceae|Thermomicrobium|Thermomicrobium roseum,30,41,40
Bacteria|NA|Chloroflexi|Ardenticatenia|Ardenticatenales|Ardenticatenaceae|Candidatus Promineofilum|Candidatus Promineofilum breve,120,152,146
Bacteria|NA|Chloroflexi|Caldilineae|Caldilineales|Caldilineaceae|Caldilinea|Caldilinea aerophila,81,82,92
Bacteria|NA|Chloroflexi|Tepidiformia|Tepidiformales|Tepidiformaceae|Tepidiforma|Tepidiforma bonchosmolovskayae,70,85,73
Bacteria|NA|Chloroflexi|Ktedonobacteria|Ktedonobacterales|Ktedonosporobacteraceae|Ktedonosporobacter|Ktedonosporobacter rubrisoli,33,43,36
Bacteria|NA|Armatimonadetes,1,0,2
Bacteria|NA|Armatimonadetes|NA|NA|NA|NA|Armatimonadetes bacterium Uphvl-Ar2,23,43,41
Bacteria|NA|Armatimonadetes|NA|NA|NA|NA|Armatimonadetes bacterium Uphvl-Ar1,6,12,13
Bacteria|NA|Armatimonadetes|Fimbriimonadia|Fimbriimonadales|Fimbriimonadaceae|Fimbriimonas|Fimbriimonas ginsengisoli,25,38,23
Bacteria|NA|Armatimonadetes|Chthonomonadetes|Chthonomonadales|Chthonomonadaceae|Chthonomonas|Chthonomonas calidirosea,22,11,21
Bacteria|NA|NA|NA|NA|NA|Thermobaculum|Thermobaculum terrenum,17,18,22
Bacteria|NA|Bacteroidetes,8102,9197,10100
Bacteria|NA|Bacteroidetes|Bacteroidia,230,247,257
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales,24000,26675,33171
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides,59164,66328,84623
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides vulgatus,127906,144741,183063
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides dorei,81415,91547,116188
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides uniformis,74700,82244,109150
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides fragilis,27134,30116,38691
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides sp. A1C1,24989,27028,35383
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides cellulosilyticus,17544,20610,25169
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides ovatus,14438,16263,19874
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides thetaiotaomicron,12771,14760,18412
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides caccae,9081,10037,12824
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides intestinalis,8317,9178,12120
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides xylanisolvens,5855,6480,8023
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides caecimuris,2362,2652,3306
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides salanitronis,1881,2167,2606
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides coprosuis,1352,1512,1683
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides helcogenes,970,1081,1373
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides heparinolyticus,851,986,1188
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides zoogleoformans,605,692,730
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae,13,10,20
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides,21219,24510,30969
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides distasonis,27372,31374,39921
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides sp. CT06,1925,2173,2634
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerella,31,24,37
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerella|Tannerella forsythia,125,121,173
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerella|Tannerella sp. oral taxon HOT-286,107,129,140
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae,2,3,3
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes,1747,1869,2331
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes onderdonkii,13955,15211,18746
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes finegoldii,6670,7042,8865
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes communis,5001,5532,6859
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes shahii,3940,4414,5018
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes dispar,2367,2491,3190
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes megaguti,1844,2025,2560
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes sp. dk3624,979,1043,1334
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Mucinivorans|Mucinivorans hirudinis,86,122,131
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae,184,219,264
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella,3571,4045,4740
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella oris,1853,1947,2253
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella intermedia,1659,1865,2126
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola,1366,1521,1782
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella melaninogenica,1160,1304,1587
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella fusca,754,739,881
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella dentalis,750,791,983
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella denticola,562,596,658
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella jejuni,377,393,403
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella scopos,368,431,531
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella sp. oral taxon 299,362,359,422
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella enoeca,324,363,420
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella|Paraprevotella xylaniphila,2001,2220,2719
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella|Alloprevotella sp. E39,315,331,381
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae,253,302,379
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Odoribacter|Odoribacter splanchnicus,10043,10725,14345
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|Butyricimonas faecalis,2662,2957,3774
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae,48,44,55
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum,34,59,78
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum|Muribaculum sp. TLL-A4,388,385,502
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum|Muribaculum sp. H5,194,227,299
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum|Muribaculum intestinale,203,207,270
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|NA|Muribaculaceae bacterium DSM 108610,460,472,560
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella,191,215,255
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella|Duncaniella sp. B8,1,1,0
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Paludibacteraceae|Paludibacter|Paludibacter propionicigenes,1174,1229,1343
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae,54,48,64
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas,29,36,43
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas gingivalis,275,349,357
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas cangingivalis,108,101,143
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas asaccharolytica,76,99,84
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas crevioricanis,54,50,81
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Fermentimonas|Fermentimonas caenicola,319,351,405
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Petrimonas|Petrimonas mucosa,244,265,306
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella|Barnesiella viscericola,627,681,831
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|NA|NA|Bacteroidales bacterium CF,270,297,337
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|NA|Candidatus Azobacteroides|Candidatus Azobacteroides pseudotrichonymphae,97,106,146
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonamonadaceae|Proteiniphilum|Proteiniphilum saccharofermentans,148,141,149
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales,11,25,17
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Marinifilaceae|Labilibaculum|Labilibaculum antarcticum,692,739,747
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae,10,6,9
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae|Draconibacterium,19,23,9
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae|Draconibacterium|Draconibacterium orientale,244,237,296
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae|Draconibacterium|Draconibacterium sp. M1,128,124,142
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae|NA|Prolixibacteraceae bacterium WC007,145,180,191
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Marinilabiliaceae|Alkalitalea|Alkalitalea saponilacus,169,210,224
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Salinivirgaceae|Salinivirga|Salinivirga cyanobacteriivorans,86,78,120
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales,475,475,540
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae,27105,29617,30378
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium,20498,22317,23269
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. H6466,10076,10971,11423
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. F5649,7365,7914,8353
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. POL2,3478,3752,3985
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. 3008163,1412,1416,1500
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. SNU WT5,1252,1351,1456
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. NBC 122,990,1061,1240
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. 6424,913,951,959
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. G0201,872,1004,1036
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. H3001,842,907,832
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. T16E-39,684,790,839
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. StRB126,521,535,573
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. IHB B 17019,515,589,619
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. G0162,476,509,523
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. G0186,401,438,481
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp. 17S1E7,361,415,391
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium sp.,255,283,311
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium haifense,20433,21242,22238
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium taklimakanense,2582,2730,2767
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium balustinum,2525,2814,2993
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium jeonii,2086,2307,2410
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium carnis,1979,2081,2147
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium gleum,1733,1708,1898
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium indoltheticum,1725,1938,2008
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium indologenes,1416,1520,1650
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium shandongense,1389,1529,1523
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium antarcticum,962,964,1064
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium carnipullorum,913,966,1026
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium bernardetii,816,822,909
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium glaciei,661,697,717
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium nakagawai,587,692,707
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium piperi,498,551,613
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium joostei,487,515,539
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium gallinarum,364,387,421
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium lactis,354,367,413
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium arthrosphaerae,302,409,396
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium camelliae,250,271,287
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Cloacibacterium|Cloacibacterium normanense,89905,99735,104850
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium,15664,18346,18342
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sp. Sr18,9874,11199,11713
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sp. 140616W15,3124,3711,3659
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sp. KBS0721,2418,2711,2773
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sp. HYN0086,1816,2042,2050
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sp. XS-5,337,379,346
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sp. CJ74,263,322,281
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sp. KP1,43,40,46
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sp. KI723T1,16,20,22
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum,5400,5829,5793
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium haoranii,5342,6097,6215
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium nackdongense,4676,5428,5467
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium gilvum,3583,4210,4338
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium columnare,3207,3585,3628
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium crassostreae,3159,3527,3517
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium johnsoniae,3079,3461,3390
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium indicum,2742,3096,3120
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium commune,2666,3136,3125
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium faecale,2395,2904,2925
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium crocinum,1972,2143,1998
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sangjuense,1916,2088,2188
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium anhuiense,1719,1863,1931
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium branchiophilum,1646,1832,1936
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium sediminis,1491,1655,1612
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium nitrogenifigens,1271,1341,1413
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium kingsejongi,1066,1165,1225
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium arcticum,477,596,590
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium pallidum,333,392,378
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium magnum,258,351,327
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium album,145,160,166
